n_obs_original,n_obs_efectivo,grupo_original,grupo_efectivo,cambia_de_grupo
1135,1135,>=1000,>=1000,False
730,730,500-999,500-999,False
663,663,500-999,500-999,False
259,259,250-499,250-499,False
703,703,500-999,500-999,False
733,733,500-999,500-999,False
827,827,500-999,500-999,False
304,304,250-499,250-499,False
2141,2141,>=1000,>=1000,False
48,48,<100,<100,False
492,492,250-499,250-499,False
312,312,250-499,250-499,False
243,243,100-249,100-249,False
212,212,100-249,100-249,False
93,93,<100,<100,False
858,858,500-999,500-999,False
42,42,<100,<100,False
270,270,250-499,250-499,False
1196,1196,>=1000,>=1000,False
121,121,100-249,100-249,False
2215,2215,>=1000,>=1000,False
203,203,100-249,100-249,False
446,446,250-499,250-499,False
50,50,<100,<100,False
413,413,250-499,250-499,False
537,537,500-999,500-999,False
1152,1152,>=1000,>=1000,False
305,305,250-499,250-499,False
1059,1059,>=1000,>=1000,False
461,461,250-499,250-499,False
912,912,500-999,500-999,False
971,971,500-999,500-999,False
167,167,100-249,100-249,False
635,635,500-999,500-999,False
269,269,250-499,250-499,False
566,566,500-999,500-999,False
616,616,500-999,500-999,False
251,251,250-499,250-499,False
624,624,500-999,500-999,False
715,715,500-999,500-999,False
300,300,250-499,250-499,False
223,223,100-249,100-249,False
822,822,500-999,500-999,False
266,266,250-499,250-499,False
410,410,250-499,250-499,False
319,319,250-499,250-499,False
511,511,500-999,500-999,False
63,63,<100,<100,False
319,319,250-499,250-499,False
205,205,100-249,100-249,False
630,630,500-999,500-999,False
748,748,500-999,500-999,False
286,286,250-499,250-499,False
84,84,<100,<100,False
265,265,250-499,250-499,False
350,350,250-499,250-499,False
257,257,250-499,250-499,False
82,82,<100,<100,False
213,213,100-249,100-249,False
263,263,250-499,250-499,False
622,622,500-999,500-999,False
326,326,250-499,250-499,False
602,602,500-999,500-999,False
280,280,250-499,250-499,False
188,188,100-249,100-249,False
616,616,500-999,500-999,False
20,20,<100,<100,False
195,195,100-249,100-249,False
523,523,500-999,500-999,False
729,729,500-999,500-999,False
271,271,250-499,250-499,False
1681,1681,>=1000,>=1000,False
390,390,250-499,250-499,False
589,589,500-999,500-999,False
987,987,500-999,500-999,False
45,45,<100,<100,False
1108,1108,>=1000,>=1000,False
485,485,250-499,250-499,False
741,741,500-999,500-999,False
463,463,250-499,250-499,False
1018,1018,>=1000,>=1000,False
314,314,250-499,250-499,False
215,215,100-249,100-249,False
298,298,250-499,250-499,False
1189,1189,>=1000,>=1000,False
244,244,100-249,100-249,False
318,318,250-499,250-499,False
365,365,250-499,250-499,False
346,346,250-499,250-499,False
500,500,500-999,500-999,False
1062,1062,>=1000,>=1000,False
796,796,500-999,500-999,False
567,567,500-999,500-999,False
280,280,250-499,250-499,False
643,643,500-999,500-999,False
198,198,100-249,100-249,False
457,457,250-499,250-499,False
317,317,250-499,250-499,False
1031,1031,>=1000,>=1000,False
282,282,250-499,250-499,False
359,359,250-499,250-499,False
141,141,100-249,100-249,False
251,251,250-499,250-499,False
398,398,250-499,250-499,False
273,273,250-499,250-499,False
303,303,250-499,250-499,False
49,49,<100,<100,False
807,807,500-999,500-999,False
651,651,500-999,500-999,False
596,596,500-999,500-999,False
195,195,100-249,100-249,False
72,72,<100,<100,False
584,584,500-999,500-999,False
278,278,250-499,250-499,False
39,39,<100,<100,False
281,281,250-499,250-499,False
358,358,250-499,250-499,False
1022,1022,>=1000,>=1000,False
44,44,<100,<100,False
560,560,500-999,500-999,False
1086,1086,>=1000,>=1000,False
279,279,250-499,250-499,False
598,598,500-999,500-999,False
1166,1166,>=1000,>=1000,False
352,352,250-499,250-499,False
353,353,250-499,250-499,False
1747,1747,>=1000,>=1000,False
157,157,100-249,100-249,False
312,312,250-499,250-499,False
612,612,500-999,500-999,False
217,217,100-249,100-249,False
230,230,100-249,100-249,False
464,464,250-499,250-499,False
833,833,500-999,500-999,False
758,758,500-999,500-999,False
244,244,100-249,100-249,False
847,847,500-999,500-999,False
225,225,100-249,100-249,False
433,433,250-499,250-499,False
361,361,250-499,250-499,False
350,350,250-499,250-499,False
619,619,500-999,500-999,False
463,463,250-499,250-499,False
277,277,250-499,250-499,False
547,547,500-999,500-999,False
945,945,500-999,500-999,False
31,31,<100,<100,False
430,430,250-499,250-499,False
445,445,250-499,250-499,False
153,153,100-249,100-249,False
241,241,100-249,100-249,False
631,631,500-999,500-999,False
143,143,100-249,100-249,False
485,485,250-499,250-499,False
1095,1095,>=1000,>=1000,False
143,143,100-249,100-249,False
239,239,100-249,100-249,False
236,236,100-249,100-249,False
77,77,<100,<100,False
155,155,100-249,100-249,False
786,786,500-999,500-999,False
156,156,100-249,100-249,False
569,569,500-999,500-999,False
136,136,100-249,100-249,False
860,860,500-999,500-999,False
817,817,500-999,500-999,False
771,771,500-999,500-999,False
45,45,<100,<100,False
550,550,500-999,500-999,False
189,189,100-249,100-249,False
366,366,250-499,250-499,False
318,318,250-499,250-499,False
926,926,500-999,500-999,False
440,440,250-499,250-499,False
2620,2619,>=1000,>=1000,False
351,351,250-499,250-499,False
342,342,250-499,250-499,False
479,479,250-499,250-499,False
938,938,500-999,500-999,False
255,255,250-499,250-499,False
223,223,100-249,100-249,False
773,773,500-999,500-999,False
341,341,250-499,250-499,False
69,69,<100,<100,False
557,557,500-999,500-999,False
492,492,250-499,250-499,False
587,587,500-999,500-999,False
337,337,250-499,250-499,False
664,664,500-999,500-999,False
306,306,250-499,250-499,False
709,709,500-999,500-999,False
892,892,500-999,500-999,False
898,898,500-999,500-999,False
525,525,500-999,500-999,False
209,209,100-249,100-249,False
51,51,<100,<100,False
682,682,500-999,500-999,False
813,813,500-999,500-999,False
912,912,500-999,500-999,False
592,592,500-999,500-999,False
704,704,500-999,500-999,False
120,120,100-249,100-249,False
141,141,100-249,100-249,False
370,370,250-499,250-499,False
588,588,500-999,500-999,False
855,855,500-999,500-999,False
144,144,100-249,100-249,False
629,629,500-999,500-999,False
288,288,250-499,250-499,False
664,664,500-999,500-999,False
143,143,100-249,100-249,False
946,946,500-999,500-999,False
561,561,500-999,500-999,False
337,337,250-499,250-499,False
647,647,500-999,500-999,False
439,439,250-499,250-499,False
618,617,500-999,500-999,False
467,467,250-499,250-499,False
1155,1155,>=1000,>=1000,False
953,953,500-999,500-999,False
560,560,500-999,500-999,False
52,52,<100,<100,False
680,680,500-999,500-999,False
534,534,500-999,500-999,False
296,296,250-499,250-499,False
582,582,500-999,500-999,False
472,472,250-499,250-499,False
116,116,100-249,100-249,False
148,148,100-249,100-249,False
276,276,250-499,250-499,False
628,628,500-999,500-999,False
302,302,250-499,250-499,False
401,401,250-499,250-499,False
1449,1449,>=1000,>=1000,False
306,306,250-499,250-499,False
691,691,500-999,500-999,False
351,351,250-499,250-499,False
77,77,<100,<100,False
205,205,100-249,100-249,False
368,368,250-499,250-499,False
336,336,250-499,250-499,False
36,36,<100,<100,False
395,395,250-499,250-499,False
376,376,250-499,250-499,False
57,57,<100,<100,False
256,256,250-499,250-499,False
94,94,<100,<100,False
453,453,250-499,250-499,False
291,291,250-499,250-499,False
355,355,250-499,250-499,False
462,462,250-499,250-499,False
202,202,100-249,100-249,False
369,369,250-499,250-499,False
953,953,500-999,500-999,False
1046,1046,>=1000,>=1000,False
249,249,100-249,100-249,False
567,567,500-999,500-999,False
894,892,500-999,500-999,False
380,380,250-499,250-499,False
417,417,250-499,250-499,False
436,436,250-499,250-499,False
326,326,250-499,250-499,False
444,444,250-499,250-499,False
81,81,<100,<100,False
270,270,250-499,250-499,False
552,552,500-999,500-999,False
271,271,250-499,250-499,False
152,152,100-249,100-249,False
264,264,250-499,250-499,False
292,292,250-499,250-499,False
877,877,500-999,500-999,False
813,813,500-999,500-999,False
777,777,500-999,500-999,False
234,234,100-249,100-249,False
618,618,500-999,500-999,False
1309,1309,>=1000,>=1000,False
427,427,250-499,250-499,False
223,223,100-249,100-249,False
477,477,250-499,250-499,False
756,756,500-999,500-999,False
148,148,100-249,100-249,False
980,980,500-999,500-999,False
185,185,100-249,100-249,False
409,409,250-499,250-499,False
582,582,500-999,500-999,False
595,595,500-999,500-999,False
693,693,500-999,500-999,False
462,462,250-499,250-499,False
135,135,100-249,100-249,False
1126,1126,>=1000,>=1000,False
213,213,100-249,100-249,False
554,554,500-999,500-999,False
685,685,500-999,500-999,False
329,328,250-499,250-499,False
119,119,100-249,100-249,False
425,425,250-499,250-499,False
563,563,500-999,500-999,False
394,394,250-499,250-499,False
337,337,250-499,250-499,False
95,95,<100,<100,False
215,215,100-249,100-249,False
398,398,250-499,250-499,False
714,714,500-999,500-999,False
472,472,250-499,250-499,False
589,589,500-999,500-999,False
360,360,250-499,250-499,False
1134,1134,>=1000,>=1000,False
1240,1240,>=1000,>=1000,False
52,52,<100,<100,False
205,205,100-249,100-249,False
929,929,500-999,500-999,False
75,75,<100,<100,False
323,323,250-499,250-499,False
2439,2439,>=1000,>=1000,False
934,934,500-999,500-999,False
230,230,100-249,100-249,False
52,52,<100,<100,False
51,51,<100,<100,False
390,390,250-499,250-499,False
579,579,500-999,500-999,False
62,62,<100,<100,False
453,453,250-499,250-499,False
273,273,250-499,250-499,False
559,559,500-999,500-999,False
46,46,<100,<100,False
612,612,500-999,500-999,False
642,642,500-999,500-999,False
593,593,500-999,500-999,False
457,457,250-499,250-499,False
1597,1597,>=1000,>=1000,False
589,589,500-999,500-999,False
218,218,100-249,100-249,False
505,505,500-999,500-999,False
450,450,250-499,250-499,False
258,258,250-499,250-499,False
670,670,500-999,500-999,False
1017,1017,>=1000,>=1000,False
357,357,250-499,250-499,False
358,358,250-499,250-499,False
369,369,250-499,250-499,False
208,208,100-249,100-249,False
65,65,<100,<100,False
878,878,500-999,500-999,False
37,37,<100,<100,False
174,174,100-249,100-249,False
465,465,250-499,250-499,False
367,367,250-499,250-499,False
324,324,250-499,250-499,False
265,265,250-499,250-499,False
495,495,250-499,250-499,False
79,79,<100,<100,False
215,215,100-249,100-249,False
452,452,250-499,250-499,False
257,257,250-499,250-499,False
1009,1009,>=1000,>=1000,False
1174,1174,>=1000,>=1000,False
1182,1182,>=1000,>=1000,False
1169,1169,>=1000,>=1000,False
628,628,500-999,500-999,False
1478,1478,>=1000,>=1000,False
639,639,500-999,500-999,False
526,526,500-999,500-999,False
359,359,250-499,250-499,False
199,199,100-249,100-249,False
518,518,500-999,500-999,False
360,360,250-499,250-499,False
685,685,500-999,500-999,False
48,48,<100,<100,False
92,92,<100,<100,False
374,374,250-499,250-499,False
456,456,250-499,250-499,False
620,620,500-999,500-999,False
977,977,500-999,500-999,False
662,662,500-999,500-999,False
696,696,500-999,500-999,False
171,171,100-249,100-249,False
1280,1280,>=1000,>=1000,False
134,134,100-249,100-249,False
423,423,250-499,250-499,False
140,140,100-249,100-249,False
87,87,<100,<100,False
489,489,250-499,250-499,False
1025,1025,>=1000,>=1000,False
667,667,500-999,500-999,False
51,51,<100,<100,False
1272,1272,>=1000,>=1000,False
52,52,<100,<100,False
268,268,250-499,250-499,False
334,334,250-499,250-499,False
797,797,500-999,500-999,False
568,568,500-999,500-999,False
1163,1163,>=1000,>=1000,False
674,674,500-999,500-999,False
828,828,500-999,500-999,False
276,276,250-499,250-499,False
386,386,250-499,250-499,False
692,692,500-999,500-999,False
97,97,<100,<100,False
47,47,<100,<100,False
158,158,100-249,100-249,False
378,378,250-499,250-499,False
640,640,500-999,500-999,False
580,580,500-999,500-999,False
1159,1159,>=1000,>=1000,False
1002,1002,>=1000,>=1000,False
124,124,100-249,100-249,False
429,429,250-499,250-499,False
503,503,500-999,500-999,False
520,520,500-999,500-999,False
579,579,500-999,500-999,False
327,327,250-499,250-499,False
966,966,500-999,500-999,False
770,770,500-999,500-999,False
265,265,250-499,250-499,False
1110,1110,>=1000,>=1000,False
1244,1244,>=1000,>=1000,False
1502,1502,>=1000,>=1000,False
449,449,250-499,250-499,False
288,288,250-499,250-499,False
406,406,250-499,250-499,False
573,573,500-999,500-999,False
110,110,100-249,100-249,False
248,248,100-249,100-249,False
251,251,250-499,250-499,False
339,339,250-499,250-499,False
316,316,250-499,250-499,False
72,72,<100,<100,False
815,815,500-999,500-999,False
500,500,500-999,500-999,False
678,678,500-999,500-999,False
339,339,250-499,250-499,False
260,260,250-499,250-499,False
1085,1085,>=1000,>=1000,False
291,291,250-499,250-499,False
590,590,500-999,500-999,False
162,162,100-249,100-249,False
532,532,500-999,500-999,False
373,373,250-499,250-499,False
53,53,<100,<100,False
474,474,250-499,250-499,False
636,636,500-999,500-999,False
1402,1402,>=1000,>=1000,False
814,814,500-999,500-999,False
209,209,100-249,100-249,False
116,116,100-249,100-249,False
339,339,250-499,250-499,False
809,809,500-999,500-999,False
377,377,250-499,250-499,False
849,849,500-999,500-999,False
127,127,100-249,100-249,False
578,578,500-999,500-999,False
507,507,500-999,500-999,False
750,750,500-999,500-999,False
386,386,250-499,250-499,False
225,225,100-249,100-249,False
447,447,250-499,250-499,False
1108,1108,>=1000,>=1000,False
379,379,250-499,250-499,False
272,272,250-499,250-499,False
401,401,250-499,250-499,False
2412,2412,>=1000,>=1000,False
860,860,500-999,500-999,False
154,154,100-249,100-249,False
39,39,<100,<100,False
678,678,500-999,500-999,False
50,50,<100,<100,False
493,493,250-499,250-499,False
424,424,250-499,250-499,False
376,376,250-499,250-499,False
172,172,100-249,100-249,False
287,287,250-499,250-499,False
724,724,500-999,500-999,False
302,302,250-499,250-499,False
1288,1288,>=1000,>=1000,False
595,595,500-999,500-999,False
721,721,500-999,500-999,False
327,327,250-499,250-499,False
1051,1051,>=1000,>=1000,False
231,231,100-249,100-249,False
641,641,500-999,500-999,False
1116,1116,>=1000,>=1000,False
156,156,100-249,100-249,False
540,540,500-999,500-999,False
1077,1077,>=1000,>=1000,False
165,163,100-249,100-249,False
1303,1303,>=1000,>=1000,False
739,739,500-999,500-999,False
959,959,500-999,500-999,False
596,596,500-999,500-999,False
844,844,500-999,500-999,False
107,107,100-249,100-249,False
572,572,500-999,500-999,False
1104,1104,>=1000,>=1000,False
531,531,500-999,500-999,False
1103,1103,>=1000,>=1000,False
277,277,250-499,250-499,False
694,694,500-999,500-999,False
251,251,250-499,250-499,False
845,845,500-999,500-999,False
72,72,<100,<100,False
275,275,250-499,250-499,False
190,190,100-249,100-249,False
499,499,250-499,250-499,False
165,165,100-249,100-249,False
341,341,250-499,250-499,False
537,537,500-999,500-999,False
854,854,500-999,500-999,False
275,275,250-499,250-499,False
351,351,250-499,250-499,False
320,320,250-499,250-499,False
231,231,100-249,100-249,False
1144,1144,>=1000,>=1000,False
